adjective,posneg,panasnum,images,key,corrAnsw,condFile,condFileIm,cueFile,cueFileIm,recogFile,recogFileIm,cues,CORRanswer,trialtype,valArous,block,image,ValArous,Panas_routine.thisRepN,Panas_routine.thisTrialN,Panas_routine.thisN,Panas_routine.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,skip_routine.thisRepN,skip_routine.thisTrialN,skip_routine.thisN,skip_routine.thisIndex,illustration_loop.thisRepN,illustration_loop.thisTrialN,illustration_loop.thisN,illustration_loop.thisIndex,repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Group.thisRepN,Group.thisTrialN,Group.thisN,Group.thisIndex,loop_cues.thisRepN,loop_cues.thisTrialN,loop_cues.thisN,loop_cues.thisIndex,loop_cues2.thisRepN,loop_cues2.thisTrialN,loop_cues2.thisN,loop_cues2.thisIndex,instruction_wordfirst.thisRepN,instruction_wordfirst.thisTrialN,instruction_wordfirst.thisN,instruction_wordfirst.thisIndex,instruction_image_first.thisRepN,instruction_image_first.thisTrialN,instruction_image_first.thisN,instruction_image_first.thisIndex,PM_task_loop.thisRepN,PM_task_loop.thisTrialN,PM_task_loop.thisN,PM_task_loop.thisIndex,recog_task_loop.thisRepN,recog_task_loop.thisTrialN,recog_task_loop.thisN,recog_task_loop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,finalLoop.thisRepN,finalLoop.thisTrialN,finalLoop.thisN,finalLoop.thisIndex,rating.response,rating.rt,key_resp_6.keys,key_resp_6.rt,key_resp_6.corr,key_resp_6.rtFirst,key_resp_4.keys,key_resp_4.rt,key_resp_7.keys,key_resp_7.rt,key_resp_PM.keys,key_resp_PM.rt,key_resp_PM.rtFirst,key_resp_PM.corr,key_resp_PM.lenient,key_resp_18.keys,key_resp_18.corr,key_resp_18.rt,participant,Group,session,date,expName,psychopyVersion,frameRate,
nervous,neg,2,,,,,,,,,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.769,,,,,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
determined,pos,1,,,,,,,,,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3.564,,,,,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
attentive,neg,2,,,,,,,,,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.899,,,,,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
jittery,neg,2,,,,,,,,,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2.026,,,,,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
active,pos,1,,,,,,,,,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.795,,,,,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
afraid,neg,2,,,,,,,,,,,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.487,,,,,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Explanation1.jpg,space,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Explanation2.jpg,l,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Explanation3.jpg,l,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Explanation4.jpg,l,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Explanation5.jpg,d,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Explanation6.jpg,l,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Explanation7.jpg,space,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Pictures/1710.jpg,,l,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.8675611483631656],1,0.8675611483631656,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Pictures/2635.jpg,,l,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.33788481721421704],1,0.33788481721421704,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Pictures/1710.jpg,,d,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['d'],[1.5438217332120985],1,1.5438217332120985,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Pictures/5890.jpg,,l,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.9254898837534711],1,0.9254898837534711,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Pictures/1675.jpg,,l,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[1.046732449089177],1,1.046732449089177,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Pictures/2635.jpg,,l,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['d'],[0.7118849253165536],0,0.7118849253165536,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Pictures/1675.jpg,,d,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['d'],[0.8642598908627406],1,0.8642598908627406,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Pictures/7009.jpg,,l,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.5688858042703941],1,0.5688858042703941,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Pictures/7021.jpg,,l,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[1.3165537897730246],1,1.3165537897730246,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Pictures/7009.jpg,,d,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['d'],[0.5099251058418304],1,0.5099251058418304,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Pictures/5890.jpg,,l,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[1.209617053042166],1,1.209617053042166,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,7.022999576176517,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.5359022422344424,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,,,,PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,Pictures/8192.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,,,,PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,Pictures/9909.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,,,,PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,Pictures/2301.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,,,,PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,Pictures/7042.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,,,,PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,Pictures/7405.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,,,,PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,Pictures/2151.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,,,,PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,Pictures/8192.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,,,,PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,Pictures/2151.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,,,,PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,Pictures/2301.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,,,,PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,Pictures/7042.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,,,,PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,Pictures/9909.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,,,,PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,Pictures/7405.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,,,,PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Pictures/1101.jpg,,,PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,Pictures/7042.jpg,l,0,NoHit,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.43674106773687527],0.43674106773687527,1,[],,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Pictures/7054.jpg,,,PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,Pictures/7405.jpg,l,0,NoHit,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.5315075818216428],0.5315075818216428,1,[],,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Pictures/1022.jpg,,,PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,Pictures/2151.jpg,l,0,NoHit,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.4694805767503567],0.4694805767503567,1,[],,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Pictures/7054.jpg,,,PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,Pictures/8192.jpg,d,1,Hit,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,['d'],[0.520521215221379],0.520521215221379,1,[],,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Pictures/1750.jpg,,,PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,Pictures/2301.jpg,l,0,NoHit,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.49678436014801264],0.49678436014801264,1,[],,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Pictures/2720.jpg,,,PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,Pictures/9909.jpg,l,0,NoHit,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.46796449000248685],0.46796449000248685,1,[],,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Pictures/1750.jpg,,,PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,None,d,1,Hit,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,['d'],[0.6431973785511218],0.6431973785511218,1,[],,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Pictures/4622.jpg,,,PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,None,l,0,NoHit,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.5581719350302592],0.5581719350302592,1,[],,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Pictures/8065.jpg,,,PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,None,l,0,NoHit,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,['l'],[1.026274095987901],1.026274095987901,1,[],,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Pictures/4622.jpg,,,PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,None,d,1,Hit,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,['d'],[0.7124367468059063],0.7124367468059063,1,[],,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
,,,Pictures/7042.jpg,,,PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,None,h,3,NeuL1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.5122922491864301],0.5122922491864301,0,0,,,,99,A,1,2019_Jun_29_1359,PM,3.0.6,60.03323008556002,
